FR0000124711;29/04/15;253,75;255,20;247,95;247,95;379340
FR0000124711;30/04/15;248,45;249,35;245,70;246,50;436649
FR0000125007;24/04/15;40,595;41,20;40,55;41,07;1891374
FR0000125007;27/04/15;41,095;41,915;40,41;41,675;2095024
FR0000125007;28/04/15;41,55;41,62;40,305;40,495;2207608
FR0000125007;29/04/15;41,64;41,85;39,77;40,00;3139971
FR0000125007;30/04/15;40,04;40,835;39,695;40,70;2669534
FR0000125338;24/04/15;79,46;79,58;78,05;78,37;687396
FR0000125338;27/04/15;81,20;85,77;78,12;84,54;2330730
FR0000125338;28/04/15;83,94;83,94;80,38;81,49;1266441
FR0000125338;29/04/15;82,00;82,25;78,38;78,38;1177696
FR0000125338;30/04/15;78,20;80,72;77,21;79,50;1232558
FR0000125346;24/04/15;107,80;108,45;107,10;107,45;181872
FR0000125346;27/04/15;108,20;109,85;106,90;109,80;181140
FR0000125346;28/04/15;109,70;109,95;106,05;107,20;125399
FR0000125346;29/04/15;107,35;108,50;104,15;104,20;194842
FR0000125346;30/04/15;106,85;112,40;104,70;112,10;457560
FR0000125486;24/04/15;55,85;57,47;55,84;56,69;2075111
FR0000125486;27/04/15;55,71;56,56;54,88;56,27;2356218
FR0000125486;28/04/15;56,12;56,37;55,70;56,22;1941835
FR0000125486;29/04/15;56,39;56,60;54,59;54,77;2205578
FR0000125486;30/04/15;54,60;55,11;53,25;54,82;1937908
FR0000125585;24/04/15;80,46;80,94;79,69;80,83;253242
FR0000125585;27/04/15;80,90;81,08;79,89;80,55;329519
FR0000125585;28/04/15;80,55;81,15;80,15;81,15;294772
FR0000125585;29/04/15;81,23;81,49;80,06;80,18;364977
FR0000125585;30/04/15;80,02;80,51;78,80;79,00;450431
FR0000125684;24/04/15;33,12;33,72;32,90;33,64;706260
FR0000125684;27/04/15;33,75;34,105;33,185;33,885;798373
FR0000125684;28/04/15;33,955;34,205;33,63;33,785;1228318
FR0000125684;29/04/15;33,785;34,055;32,75;32,75;1088782
FR0000125684;30/04/15;32,73;33,085;32,12;32,77;944827
FR0000127771;24/04/15;23,005;23,265;22,965;23,09;5356620
FR0000127771;27/04/15;23,05;23,23;22,82;23,12;4531045
FR0000127771;28/04/15;23,065;23,105;22,62;22,805;3772842
FR0000127771;29/04/15;22,815;22,985;22,27;22,27;5179637
FR0000127771;30/04/15;22,33;22,485;22,07;22,415;4701727
FR0000130007;24/04/15;3,781;3,809;3,694;3,701;21424482
FR0000130007;27/04/15;3,703;3,74;3,658;3,695;21153864
FR0000130007;28/04/15;3,69;3,701;3,605;3,644;22034416
FR0000130007;29/04/15;3,646;3,66;3,488;3,488;23144505
FR0000130007;30/04/15;3,34;3,34;3,05;3,151;78955291
FR0000130213;24/04/15;28,70;28,875;28,575;28,80;237722
FR0000130213;27/04/15;28,785;29,185;28,525;29,10;327596
FR0000130213;28/04/15;29,10;29,10;28,47;28,795;320716
FR0000130213;29/04/15;28,805;29,045;28,355;28,38;355898
FR0000130213;30/04/15;28,355;28,78;27,995;28,65;414017
FR0000130338;24/04/15;150,40;151,35;148,20;150,45;442550
FR0000130338;27/04/15;150,90;153,50;149,10;153,35;308550
FR0000130338;28/04/15;153,25;153,60;145,95;147,55;431417
FR0000130338;29/04/15;148,10;148,85;143,25;143,45;402080
FR0000130338;30/04/15;143,00;144,20;140,70;143,30;487832
FR0000130395;24/04/15;71,70;71,85;70,67;71,35;124255
FR0000130395;27/04/15;71,40;73,49;70,70;73,14;179697
FR0000130395;28/04/15;72,95;73,07;70,50;71,28;122722
FR0000130395;29/04/15;71,47;71,90;68,59;68,59;203655
FR0000130395;30/04/15;68,59;68,59;66,80;67,19;220826
FR0000130403;24/04/15;178,80;180,35;177,55;179,15;86849
FR0000130403;27/04/15;179,25;181,65;177,30;181,30;70758
FR0000130403;28/04/15;180,80;181,20;175,35;177,40;64515
FR0000130403;29/04/15;178,45;180,70;174,35;174,60;89277
FR0000130403;30/04/15;175,25;175,75;169,55;175,00;125012
FR0000130452;24/04/15;54,50;55,11;53,61;54,80;359388
FR0000130452;27/04/15;54,60;56,56;54,20;56,27;283342
FR0000130452;28/04/15;56,35;56,35;55,41;55,70;219683
FR0000130452;29/04/15;55,95;56,35;54,15;54,40;212590
FR0000130452;30/04/15;54,30;54,68;53,83;54,44;208876
FR0000130577;24/04/15;77,70;78,01;76,87;77,86;668582
FR0000130577;27/04/15;77,60;78,50;77,08;78,13;581002
FR0000130577;28/04/15;77,73;77,87;75,75;76,21;936118
FR0000130577;29/04/15;76,21;76,79;73,87;73,95;1167636
FR0000130577;30/04/15;74,03;75,27;72,63;74,86;1045401
FR0000130650;24/04/15;69,20;69,34;68,20;69,33;390682
FR0000130650;27/04/15;70,00;71,43;69,12;71,11;440031
FR0000130650;28/04/15;70,92;71,17;68,95;69,45;502826
FR0000130650;29/04/15;69,50;70,00;67,56;67,58;472602
FR0000130650;30/04/15;67,41;69,06;66,55;68,80;531692
FR0000130809;24/04/15;45,175;46,24;45,105;45,835;4265541
FR0000130809;27/04/15;46,135;46,895;45,225;46,755;3929527
